Player,Team,Position,GS,MIN,PPG,RPG,APG,FGM,FGA,FG%,3PM,3PA
Clint Capela,ATL,C,73,25.8,11.5,10.6,1.2,4.8,8.5,57.1,0,0
Dejounte Murray,ATL,SG,78,35.7,22.5,5.3,6.4,8.6,18.8,45.9,2.6,7.1
Jalen Johnson,ATL,PF,52,33.7,16,8.7,3.6,6.4,12.5,51.1,1.3,3.6
Saddiq Bey,ATL,SF,51,32.7,13.7,6.5,1.5,4.6,11.1,41.6,1.8,5.7
Trae Young,ATL,PG,54,36,25.7,2.8,10.8,8,18.7,43,3.2,8.7
Derrick White,BOS,SG,73,32.6,15.2,4.2,5.2,5.3,11.5,46.1,2.7,6.8
Jaylen Brown,BOS,SF,70,33.5,23,5.5,3.6,9,17.9,49.9,2.1,5.9
Jayson Tatum,BOS,PF,74,35.7,26.9,8.1,4.9,9.1,19.3,47.1,3.1,8.2
Jrue Holiday,BOS,PG,69,32.8,12.5,5.4,4.8,4.8,10,48,2,4.7
Kristaps Porziņģis,BOS,C,57,29.6,20.1,7.2,2,6.8,13.2,51.6,1.9,5.1
Cam Thomas,BKN,SG,51,31.4,22.5,3.2,2.9,8,18,44.2,2.2,6
Dorian Finney-Smith,BKN,PF,56,28.4,8.5,4.7,1.6,3.2,7.5,42.1,1.7,4.9
Mikal Bridges,BKN,SF,82,34.8,19.6,4.5,3.6,6.9,15.8,43.6,2.7,7.2
Nic Claxton,BKN,C,71,29.8,11.8,9.9,2.1,5.2,8.2,62.9,0,0.1
Spencer Dinwiddie,BKN,PG,48,30.7,12.6,3.3,6,4.1,10.4,39.1,1.9,5.8
Brandon Miller,CHA,SF,68,32.2,17.3,4.3,2.4,6.4,14.6,44,2.5,6.7
Miles Bridges,CHA,SF,67,37.4,21,7.3,3.3,8.1,17.5,46.2,2.3,6.5
Nick Richards,CHA,C,51,26.3,9.7,8,0.8,3.9,5.6,69.1,0,0
P.J. Washington Jr.,CHA,PF,73,30.4,12.9,5.6,1.9,4.8,11.1,43.6,1.8,5.7
Terry Rozier,CHA,SG,61,33.4,19.8,4,5.6,7.2,16.4,44.3,2.4,6.7
Tre Mann,CHA,PG,28,31,11.9,4.5,5.2,4.5,9.9,45.3,1.4,3.8
Alex Caruso,CHI,SG,57,28.7,10.1,3.8,3.5,3.6,7.6,46.8,1.9,4.7
Coby White,CHI,PG,78,36.5,19.1,4.5,5.1,6.8,15.3,44.7,2.6,7
DeMar DeRozan,CHI,SF,79,37.8,24,4.3,5.3,8.2,17.2,48,0.9,2.8
Nikola Vučević,CHI,C,74,34.3,18,10.5,3.3,7.7,15.9,48.4,1.2,4.1
Patrick Williams,CHI,PF,43,27.3,10,3.9,1.5,3.7,8.3,44.3,1.4,3.4
Darius Garland,CLE,PG,57,33.4,18,2.7,6.5,6.6,14.8,44.6,2.3,6.2
Donovan Mitchell,CLE,SG,55,35.3,26.6,5.1,6.1,9.1,19.8,46.2,3.3,9
Evan Mobley,CLE,PF,50,30.6,15.7,9.4,3.2,6.4,11,58,0.4,1.2
Jarrett Allen,CLE,C,77,31.7,16.5,10.5,2.7,6.7,10.6,63.4,0,0.1
Max Strus,CLE,SF,70,32,12.2,4.8,4,4.3,10.4,41.8,2.4,6.8
Dereck Lively II,DAL,C,42,23.5,8.8,6.9,1.1,4,5.4,74.7,0,0
Derrick Jones Jr.,DAL,SF,66,23.5,8.6,3.3,1,3.1,6.5,48.3,1.1,3.1
Grant Williams,DAL,PF,38,27.6,10.1,4.1,2,3.7,8.3,45,1.4,3.4
Kyrie Irving,DAL,SG,58,35,25.6,5,5.2,9.7,19.5,49.7,3,7.3
Luka Dončić,DAL,PG,70,37.5,33.9,9.2,9.8,11.5,23.6,48.7,4.1,10.6
Aaron Gordon,DEN,PF,73,31.5,13.9,6.5,3.5,5.5,9.8,55.6,0.5,1.9
Jamal Murray,DEN,PG,59,31.5,21.2,4.1,6.5,8,16.7,48.1,2.5,5.8
Kentavious Caldwell-Pope,DEN,SG,76,31.6,10.1,2.4,2.4,3.6,7.7,46,1.6,4.1
Michael Porter Jr.,DEN,SF,81,31.7,16.7,7,1.5,6.4,13.3,48.4,2.7,6.8
Nikola Jokić,DEN,C,79,34.6,26.4,12.4,9,10.4,17.9,58.3,1.1,2.9
Ausar Thompson,DET,SF,63,31,8.8,6.4,1.9,3.7,7.6,48.3,0.3,1.6
Cade Cunningham,DET,PG,62,33.5,22.7,4.3,7.5,8.5,18.8,44.9,1.9,5.4
Jaden Ivey,DET,SG,61,28.8,15.4,3.4,3.8,5.4,12.6,42.9,1.6,4.8
Jalen Duren,DET,C,60,29.1,13.8,11.6,2.4,5.7,9.2,61.9,0,0.1
Isaiah Stewart,DET,PF,45,30.9,10.9,6.6,1.6,4,8.3,48.7,1.5,3.8
Andrew Wiggins,GSW,SF,59,27,13.2,4.5,1.7,5,11,45.3,1.3,3.6
Brandin Podziemski,GSW,SG,28,26.6,9.2,5.8,3.7,3.7,8.1,45.4,1.2,3.2
Jonathan Kuminga,GSW,PF,46,26.3,16.1,4.8,2.2,6.2,11.6,52.9,0.7,2.2
Klay Thompson,GSW,SF,63,29.7,17.9,3.3,2.3,6.4,14.7,43.2,3.5,9
Kevon Looney,GSW,C,36,16.1,4.5,5.7,1.8,1.9,3.1,59.7,0,0
Stephen Curry,GSW,PG,74,32.7,26.4,4.5,5.1,8.8,19.5,45,4.8,11.8
Alperen Şengün,HOU,C,63,32.5,21.1,9.3,5,8.4,15.6,53.7,0.5,1.8
Dillon Brooks,HOU,SF,72,30.9,23.7,3.4,1.7,4.6,10.7,42.8,1.8,5.1
Fred VanVleet,HOU,PG,73,36.8,17.4,3.8,8.1,5.8,13.9,41.6,3.1,8
Jabari Smith Jr.,HOU,PF,76,31.9,13.7,8.1,1.6,5,11,45.4,1.8,5
Jalen Green,HOU,SG,82,31.7,19.6,5.2,3.5,6.9,16.2,42.3,2.5,7.4
Aaron Nesmith,IND,SF,47,27.7,12.2,3.8,1.5,4.4,8.8,49.6,1.9,4.6
Bruce Brown,IND,SG,67,27.9,10.8,4.2,2.9,4.1,8.7,47.8,0.8,2.4
Myles Turner,IND,C,77,27,17.1,6.9,1.3,6.2,11.8,52.4,1.5,4.2
Pascal Siakam,IND,PF,80,33.2,21.7,7.1,4.3,8.5,15.9,53.6,1.1,3.1
Tyrese Haliburton,IND,PG,68,32.2,20.1,3.9,10.9,7.2,15.2,47.7,2.8,7.8
Ivica Zubac,LAC,C,68,26.4,11.7,9.2,1.4,5,7.6,64.9,0,0
James Harden,LAC,PG,72,34.3,16.6,5.1,8.5,4.9,11.4,42.8,2.6,6.8
Kawhi Leonard,LAC,SF,68,34.3,23.7,6.1,3.6,9,17.1,52.5,2.1,4.9
Paul George,LAC,PF,74,33.8,22.6,5.2,3.5,7.9,16.7,47.1,3.3,7.9
Terance Mann,LAC,SG,71,25,8.8,3.4,1.6,3.4,6.6,51.5,0.9,2.7
Austin Reaves,LAL,SG,57,32.1,15.9,4.3,5.5,5.6,11.5,48.6,1.9,5.1
Anthony Davis,LAL,C,76,35.5,24.7,12.6,3.5,9.4,16.9,55.6,0.4,1.4
Cam Reddish,LAL,SF,26,20.5,5.4,2.1,1,1.9,4.9,38.9,0.8,2.3
D'Angelo Russell,LAL,PG,69,32.7,18,3.1,6.3,6.5,14.2,45.6,3,7.2
LeBron James,LAL,PF,71,35.3,25.7,7.3,8.3,9.6,17.9,54,2.1,5.1
Desmond Bane,MEM,SG,42,34.4,23.7,4.4,5.5,8.6,18.5,46.4,3.3,8.6
Jaren Jackson Jr.,MEM,C,66,32.2,22.5,5.5,2.3,7.8,17.6,44.4,1.8,5.5
John Konchar,MEM,SF,15,21.3,4.3,4.7,2,1.6,3.8,42.3,0.7,2.2
Marcus Smart,MEM,PG,20,30.3,14.5,2.7,4.3,5.1,11.9,43,2.1,6.7
Santi Aldama,MEM,PF,35,26.5,10.7,5.8,2.3,4,9.3,43.5,1.7,5
Bam Adebayo,MIA,C,71,34,19.3,10.4,3.9,7.5,14.3,52.1,0.2,0.6
Duncan Robinson,MIA,SF,36,28,12.9,2.5,2.8,4.5,9.9,45,2.8,7
Kyle Lowry,MIA,PG,35,28,8.2,3.5,4,2.8,6.5,42.6,1.7,4.4
Jimmy Butler,MIA,PF,60,34,20.8,5.3,5,6.6,13.2,49.9,1,2.4
Tyler Herro,MIA,SG,40,33.5,20.8,5.3,4.5,7.7,17.5,44.1,3.1,7.9
Brook Lopez,MIL,C,79,30.5,12.5,5.2,1.6,4.6,9.6,48.5,1.9,5.1
Damian Lillard,MIL,PG,73,35.3,24.3,4.4,7,7.4,17.5,42.4,3,8.5
Giannis Antetokounmpo,MIL,PF,73,35.2,30.4,11.5,6.5,11.5,18.8,61.1,0.5,1.7
