"Player","Team","Position","GS","MIN","PPG","RPG","APG","FGM","FGA","FG.","X3PM","X3PA"
"Clint Capela","ATL","C",74,27.6,11.1,11.9,1.2,5,7.8,61.3,0,0
"Robert Williams III","BOS","C",61,29.6,10,9.6,2,4.3,5.1,73.6,0,0
"Nic Claxton","BKN","C",19,20.7,8.7,5.6,0.9,3.5,5.4,67.4,0,0
"Mason Plumlee","CHA","C",73,24.6,6.5,7.7,3.1,2.7,4.5,64.1,0,0
"Nikola Vučević","CHI","C",73,33.1,17.6,11,3.2,7.3,15.8,47.3,1.5,4.5
"Jarrett Allen","CLE","C",56,32.3,16.1,10.8,1.6,6.5,9.6,67.7,0,0.1
"Dwight Powell","DAL","C",71,21.9,8.7,4.9,1.2,3.2,4.8,67.1,0,0.1
"Nikola Jokić","DEN","C",74,33.5,27.1,13.8,7.9,10.6,17.7,58.3,1.3,3.9
"Jalen Duren","DET","C",31,24,8,8.2,1,3.3,5.5,60,0,0
"Kevon Looney","GSW","C",80,21.1,6,7.3,2,2.5,4,63,0,0
"Alperen Şengün","HOU","C",72,28.9,14.8,9,3.9,6,10.2,55.3,0.3,1
"Myles Turner","IND","C",42,29.4,12.9,7.1,1,4.7,9.7,50.9,1.5,4.4
"Ivica Zubac","LAC","C",76,24.4,10.3,8.5,1.6,4.1,6.5,62.6,0,0
"Damian Jones","LAL","C",15,18.2,8.1,4.4,1,3.2,5,64,0,0.1
"Steven Adams","MEM","C",75,26.3,6.9,10,3.4,2.7,4.5,54.8,0,0.1
"Bam Adebayo","MIA","C",56,32.6,19.1,10.1,3.4,7.3,13,55.7,0,0.1
"Brook Lopez","MIL","C",13,22.9,12.4,4.1,0.5,4.6,8.1,46.6,1.2,3.8
"Karl-Anthony Towns","MIN","C",74,33.5,24.6,9.8,3.6,8.7,16.4,52.9,2,5.4
"Jonas Valančiūnas","NOP","C",74,30.3,17.8,11.4,2.6,6.5,12,54.4,0.9,2.5
"Mitchell Robinson","NYK","C",62,25.7,8.5,8.6,0.5,3.5,5,76.1,0,0
"Mo Bamba","ORL","C",69,25.7,10.6,8.1,1.2,4,8,48,1.5,4
"Joel Embiid","PHI","C",68,33.8,30.6,11.7,4.2,10.2,20.4,49.9,1.4,3.8
"Deandre Ayton","PHO","C",58,29.5,17.2,10.2,1.4,7.8,12,63.4,0.1,0.2
"Jusuf Nurkić","POR","C",56,28.2,15,11.1,2.8,6.2,11,53.5,0.2,0.6
"Domantas Sabonis","SAC","C",62,34.6,18.9,12.1,5.2,7.5,13,57.7,0.4,1.3
"Jakob Poeltl","SAS","C",68,29,13.5,9.3,2.8,6,9.8,61.8,0,0
"Precious Achiuwa","TOR","C",73,23.6,9.1,6.5,1.1,3.4,7.3,44.9,0.9,2.5
"Rudy Gobert","UTA","C",56,32.1,15.6,14.7,1.1,5.8,8.2,71.3,0,0.1
"Kristaps Porziņģis","WAS","C",51,29.1,20.2,8.1,2.3,7,14.5,48.5,1.6,4.8
"Clint Capela","ATL","C",65,26.6,12,11,0.9,5.3,8,66,0,0
"Robert Williams III","BOS","C",35,23.5,8,8.3,1.4,3.4,5,68,0,0
"Nic Claxton","BKN","C",76,29.9,12.6,9.2,1.9,5.5,7,70.5,0,0
"Mason Plumlee","CHA","C",79,26.5,10.8,8.9,3.1,4.4,6.8,65,0,0.1
"Nikola Vučević","CHI","C",82,33.5,17.6,11,3.2,7.3,14.1,51.4,1.5,4.2
"Jarrett Allen","CLE","C",68,32.6,14.3,9.8,1.7,5.8,9.3,62.6,0,0.1
"Dwight Powell","DAL","C",76,19.2,6.7,4.1,0.9,2.5,3.8,65.8,0,0.1
"Nikola Jokić","DEN","C",69,33.7,24.5,11.8,9.8,9.3,14.7,63.2,0.9,2.3
"Jalen Duren","DET","C",31,24.9,9.1,8.9,1.1,3.8,6,63.9,0,0
"Kevon Looney","GSW","C",82,23.9,7,9.3,2.5,3,4.5,63,0,0
"Alperen Şengün","HOU","C",72,28.9,14.8,9,3.9,6,10.2,55.3,0.2,0.7
