"Player","Team","Position","GS","MIN","PPG","RPG","APG","FGM","FGA","FG.","X3PM","X3PA"
"John Collins","ATL","PF",54,30.8,16.2,7.8,1.8,6,11,52.6,1.2,3.3
"Al Horford","BOS","PF",69,29.1,10.2,7.7,3.4,3.8,8.4,46.7,1.3,4.2
"Blake Griffin","BKN","PF",24,17.1,6.4,4.1,1.9,2.3,6,38.3,0.8,2.6
"Patrick Williams","CHI","PF",17,24.8,9,4.1,0.9,3.4,7,52.9,0.9,2
"Evan Mobley","CLE","PF",69,33.8,15,8.3,2.5,6.2,12,50.8,0.3,1.3
"Aaron Gordon","DEN","PF",75,31.7,15,5.9,2.5,5.7,10.5,52,1.2,3.5
"Isaiah Stewart","DET","PF",31,28.9,11.6,8.1,1.3,4.2,9,46.7,1.3,4.1
"Draymond Green","GSW","PF",46,28.9,7.5,7.3,7,2.8,5.3,52.5,0.4,1.3
"Jabari Smith Jr.","HOU","PF",79,31,12.8,7.2,1.3,4.8,11.6,40.8,1.6,5.3
"Jalen Smith","IND","PF",22,24.7,13.4,7.6,1,5,10,50.2,1.4,3.8
"Marcus Morris Sr.","LAC","PF",54,29.9,15.4,4.4,2.1,5.6,12.8,43.4,2.5,6.3
"Anthony Davis","LAL","PF",40,35.1,23.2,9.9,3.1,8.8,17,53.2,0.3,1.9
"Jaren Jackson Jr.","MEM","PF",78,27.3,16.3,5.8,1.1,5.6,13.2,41.5,1.6,5
"P.J. Tucker","MIA","PF",70,27.9,7.6,5.5,2.1,2.8,5.3,48.4,1,2.2
"Giannis Antetokounmpo","MIL","PF",67,32.9,29.9,11.6,5.8,10.3,18.6,55.3,1.1,3.6
"Jarred Vanderbilt","MIN","PF",67,25.4,6.9,8.4,1.3,2.9,4.9,59,0,0.2
"Julius Randle","NYK","PF",72,35.3,20.1,9.9,5.1,7.3,16.5,44.4,1.5,4.6
"Aleksej Pokuševski","OKC","PF",12,20.2,7.6,5.2,2.1,2.9,7.1,40.8,0.9,3.1
"Darius Bazley","OKC","PF",53,27.9,10.8,6.3,1.4,4.1,9.7,42.2,1.2,4
"Wendell Carter Jr.","ORL","PF",61,29.9,15,10.5,2.8,5.8,11.2,52.5,1.1,3.5
"Tobias Harris","PHI","PF",72,34.8,17.2,6.8,3.5,6.8,13.8,48.2,1.4,4
"Jae Crowder","PHO","PF",67,28.1,9.4,5.3,1.9,3.2,7.8,39.9,2.1,5.4
"Robert Covington","POR","PF",40,29.8,7.6,5.7,1.4,2.7,6.7,40.3,1.9,5.2
"Davion Mitchell","SAC","PF",75,27.7,11.5,2.2,4.2,4.4,10.5,41.8,1.4,4.5
"Pascal Siakam","TOR","PF",68,37.9,22.8,8.5,5.3,8.9,18,49.4,1.3,3.7
"Rudy Gay","UTA","PF",55,18.9,8.1,4.4,1,2.8,6.8,41.2,1.3,3.8
"Rui Hachimura","WAS","PF",42,22.5,11.3,3.8,1.1,4.4,8.8,49.1,1.2,2.5
"John Collins","ATL","PF",71,30,13.1,6.5,1.2,5,10.5,47.6,1,3.3
"Al Horford","BOS","PF",63,30.5,9.8,6.2,3,3.5,7.3,48,2.3,5.5
"Royce O'Neale","BKN","PF",53,31,8.8,5.1,3.7,3,7.1,42.3,2.1,5.5
"P.J. Washington","CHA","PF",73,32.6,15.7,4.9,2.4,6,13.4,44.4,2,5.7
"Patrick Williams","CHI","PF",65,28.3,10.2,4,1.2,3.7,8,46.3,1.4,3.8
"Evan Mobley","CLE","PF",79,34.4,16.2,9,2.8,6.7,12,55.4,0.3,1.3
"Dorian Finney-Smith","DAL","PF",65,31.2,8.3,4.6,1.5,2.9,7,41.4,1.9,5.5
"Aaron Gordon","DEN","PF",68,30.2,16.3,6.6,3,6.1,10.8,56.4,0.9,2.6
"Isaiah Stewart","DET","PF",47,28.3,11.3,8.1,1.4,4,9,44.2,1.3,4.1
"Draymond Green","GSW","PF",73,31.5,8.5,7.2,6.8,3.3,6.4,52.7,0.6,2
"Jabari Smith Jr.","HOU","PF",79,31,12.8,7.2,1.3,4.7,11.4,40.8,1.6,5.6
"Jalen Smith","IND","PF",31,18.8,9.4,5.8,1,3.5,7.5,46.5,0.8,2.5
"Marcus Morris Sr.","LAC","PF",65,28.1,11.2,4,1.8,4.1,10,41,1.7,5
"LeBron James","LAL","PF",55,35.5,28.9,8.3,6.8,11.1,22.2,50,2.2,6.9
"Jaren Jackson Jr.","MEM","PF",63,28.4,18.6,6.8,1,6.5,13.1,49.4,1.6,4.4
"Caleb Martin","MIA","PF",49,29.3,9.6,4.8,1.6,3.5,7.5,46.7,1.3,3.5
"Giannis Antetokounmpo","MIL","PF",63,32.1,31.1,11.8,5.7,11.3,20.3,55.7,0.7,2.7
"Karl-Anthony Towns","MIN","PF",29,33,20.8,8.1,4.8,6.8,14,49.5,2.1,5.4
