"Player","Team","Position","GS","MIN","PPG","RPG","APG","FGM","FGA","FG.","X3PM","X3PA"
"Trae Young","ATL","PG",76,34.9,28.4,3.7,9.7,9.1,20.3,46,2.9,8
"Marcus Smart","BOS","PG",71,32.3,12.1,3.8,5.9,4.1,10.6,41.8,1.7,5.5
"Kyrie Irving","BKN","PG",29,37.6,27.4,4.4,5.8,10.1,20.8,47,3.4,8.2
"LaMelo Ball","CHA","PG",75,32.3,20.1,6.7,7.6,7,15.6,42.9,2.9,7.5
"Lonzo Ball","CHI","PG",35,34.6,13,5.4,5.1,4.6,11.4,42.3,3.1,7.4
"Darius Garland","CLE","PG",68,35.7,21.7,3.3,8.6,7.5,16.2,46.2,2.9,7.6
"Luka Dončić","DAL","PG",65,35.4,28.4,9.1,8.7,10.1,21.6,45.7,3.1,8.8
"Jalen Brunson","DAL","PG",61,31.9,16.3,3.9,4.8,6.3,12.5,50.2,1.2,3.2
"Monte Morris","DEN","PG",74,29.9,12.6,3,4.4,4.8,10.1,48.4,1.7,4.2
"Cade Cunningham","DET","PG",12,33.3,19.9,6.2,6,7.5,18.1,41.5,1.4,5.1
"Killian Hayes","DET","PG",31,26.8,9.1,2.8,5.3,3.4,9.1,37.4,1.1,3.8
"Stephen Curry","GSW","PG",64,34.5,25.5,5.2,6.3,8.4,19.2,43.7,4.5,11.7
"Kevin Porter Jr.","HOU","PG",59,34.3,19.2,5.3,5.7,6.9,15.3,44.2,2.3,6.4
"Tyrese Haliburton","IND","PG",26,36.1,17.5,4.3,9.6,6.2,12.1,51,2.2,5.5
"Reggie Jackson","LAC","PG",75,31.2,16.8,3.6,4.8,6.2,15.3,43.1,2.2,6.8
"Russell Westbrook","LAL","PG",78,34.3,18.5,7.4,7.1,7.1,15.8,44.4,1,3.4
"Ja Morant","MEM","PG",57,33.1,27.4,5.7,6.7,10,20.6,49.3,1.5,4.5
"Kyle Lowry","MIA","PG",63,33.9,13.4,4.5,7.5,4.6,10.7,44,2.3,6.2
"Jrue Holiday","MIL","PG",64,32.9,18.3,4.5,6.8,7.1,13.3,50.1,1.9,4.7
"D'Angelo Russell","MIN","PG",65,32,18.1,3.3,7.1,6.2,15,41.1,2.7,8
"Devonte' Graham","NOP","PG",63,28.4,11.9,2.3,4.2,3.9,10.5,36.3,2.5,7.4
"Josh Giddey","OKC","PG",54,31.5,12.5,7.8,6.4,5,11.9,41.9,1.3,4.9
"Cole Anthony","ORL","PG",65,31.7,16.3,5.4,5.7,5.6,14,39.1,1.9,6
"Tyrese Maxey","PHI","PG",74,35.3,17.5,3.2,4.3,6.8,14,48.5,1.8,4.2
"Chris Paul","PHO","PG",65,32.9,14.7,4.4,10.8,5.5,11.3,49.3,1,2.8
"Damian Lillard","POR","PG",29,36.4,24,4.1,7.3,7.5,19.1,40.2,3.2,10
"De'Aaron Fox","SAC","PG",59,35.3,23.2,3.9,5.6,8.7,18.2,47.3,1.3,3.9
"Dejounte Murray","SAS","PG",68,34.8,21.1,8.3,9.2,8.4,18.3,46.2,1.4,4.3
"Fred VanVleet","TOR","PG",65,37.9,20.3,4.4,6.7,6.8,16.7,40.3,3.7,9.7
"Mike Conley","UTA","PG",72,28.6,13.7,3,5.3,4.8,10.8,44.4,2.2,5.5
"Spencer Dinwiddie","WAS","PG",67,30.2,13.7,4.2,5.2,4.4,11.2,39.3,1.7,5.2
"Trae Young","ATL","PG",73,34.8,26.2,3,10.2,8.3,20.3,41,2.1,7
"Marcus Smart","BOS","PG",61,32.1,11.5,3.1,6.3,4,9.7,41.2,1.9,5.6
"Kyrie Irving","BKN","PG",60,37.2,27.1,5.1,5.5,9.6,20.2,47.5,3.3,8.3
"LaMelo Ball","CHA","PG",36,35.2,23.3,6.4,8.4,8,19.4,41.1,4,11.5
"Ayo Dosunmu","CHI","PG",51,26.2,8.6,2.8,2.6,3.3,7,47.1,0.9,2.6
"Darius Garland","CLE","PG",69,35.5,21.6,2.7,7.8,7.5,16.1,46.2,2.5,6.7
"Luka Dončić","DAL","PG",66,36.2,32.4,8.6,8,11.1,22.3,49.8,2.8,8
"Jamal Murray","DEN","PG",65,32.8,20,4,6.2,7.3,16.1,45.4,2.6,6.5
"Cade Cunningham","DET","PG",12,33.3,19.9,6.2,6,7.3,18.1,41.5,1.4,5.1
"Stephen Curry","GSW","PG",56,34.7,29.4,6.1,6.3,10.2,20.2,49.3,4.9,11.4
"Kevin Porter Jr.","HOU","PG",59,34.3,19.2,5.3,5.7,6.8,15.3,44.2,2.3,6.6
"Tyrese Haliburton","IND","PG",56,33.6,20.7,3.7,10.4,7.1,14.5,49,2.9,7.2
"Reggie Jackson","LAC","PG",68,25.7,10.2,2.2,3.4,3.7,9.2,40.8,1.5,4.5
"Russell Westbrook","LAL","PG",24,29.1,15.9,5.8,7.5,5.9,13.6,43.6,1.2,3.9
"Ja Morant","MEM","PG",59,31.9,26.2,5.9,8.1,9.1,19.4,46.6,1.5,4.5
"Kyle Lowry","MIA","PG",44,33.3,11.2,4.1,5.1,3.9,9.5,41.2,2,5.8
"Jrue Holiday","MIL","PG",65,33.4,19.3,5.1,7.4,7.2,14.5,49.7,2.4,6.1
"D'Angelo Russell","MIN","PG",71,32.5,17.8,3,6.2,6.4,13.8,46.9,2.7,7
"CJ McCollum","NOP","PG",75,35.3,20.9,4.4,5.7,7.6,17.3,43.7,2.9,8.4
"Jalen Brunson","NYK","PG",68,35,24,3.5,6.2,8.6,17.6,49.1,2,4.7
