"Player","Team","Position","GS","MIN","PPG","RPG","APG","FGM","FGA","FG.","X3PM","X3PA"
"Bogdan Bogdanović","ATL","SG",27,29.7,15.1,4,3.1,5.5,12.8,43.1,2.7,7.4
"Jaylen Brown","BOS","SG",66,33.6,23.6,6.1,3.5,8.7,18.4,47.3,2.5,7
"James Harden","BKN","SG",44,37,22.5,8,10.2,7,16.7,41.4,2.3,7
"Terry Rozier","CHA","SG",73,33.7,19.3,4.3,4.5,7,15.5,44.4,3,8
"Zach LaVine","CHI","SG",67,34.7,24.4,4.6,4.5,8.5,17.7,47.6,2.8,7.1
"Isaac Okoro","CLE","SG",61,29.6,8.8,3,1.8,3.2,6.5,48,0.9,2.5
"Collin Sexton","CLE","SG",11,28.7,16,3.3,2.1,6,13,45,0.9,3.3
"Reggie Bullock","DAL","SG",37,28,8.6,3.5,1.2,3,7.5,40.9,2,5.8
"Will Barton","DEN","SG",71,32.1,14.7,4.8,3.9,5.5,13,43.8,2.2,6
"Klay Thompson","GSW","SG",32,29.4,20.4,3.9,2.8,7.5,17.6,42.9,3.6,9.3
"Eric Gordon","HOU","SG",47,30.2,13.1,2.1,2.9,4.5,10.5,42.7,1.8,5.3
"Jalen Green","HOU","SG",76,34.2,22.1,3.7,3.7,7.7,18.3,41.6,2.5,7.3
"Chris Duarte","IND","SG",39,28,13.1,4.1,2.1,4.8,11,43.2,1.7,4.6
"Buddy Hield","IND","SG",26,35.6,18.2,5.1,4.8,6.7,15.3,43.8,3.6,9.6
"Terance Mann","LAC","SG",33,28.6,10.8,5.2,2.6,4.1,8.4,48,0.9,2.6
"Malik Beasley","LAL","SG",18,25,12.1,2.9,1.5,4.2,10.5,40,2.9,7.5
"Dillon Brooks","MEM","SG",32,27.7,18.4,3.2,2.8,6.8,16,42.6,1.9,5.5
"Desmond Bane","MEM","SG",76,29.8,18.2,4.4,2.7,6.5,13.5,46.1,3,6.9
"Tyler Herro","MIA","SG",10,32.6,20.7,5,4,7.5,17,44.7,2.7,7
"Grayson Allen","MIL","SG",61,27.3,11.1,3.4,1.5,4,8.8,44.8,2.4,5.9
"Anthony Edwards","MIN","SG",72,34.3,21.3,4.8,3.8,7.6,17.3,44.1,3,8.4
"Josh Hart","NOP","SG",40,33.5,13.4,7.8,4.1,5,10.2,50.5,1.1,3.6
"Alec Burks","NYK","SG",44,28.6,11.7,4.9,3,4,10,40.4,2,5.5
"Evan Fournier","NYK","SG",80,29.5,14.1,2.6,2.1,5,11.5,41.7,3,7.7
"Shai Gilgeous-Alexander","OKC","SG",56,34.7,24.5,5,5.9,8.5,18.8,45.3,1.7,5.6
"Luguentz Dort","OKC","SG",51,32.6,17.2,4.2,1.7,5.8,14.4,40.4,2.5,7.5
"Jalen Suggs","ORL","SG",45,27.2,11.8,3.6,4.4,4.2,11.5,36.1,1.3,4.1
"Matisse Thybulle","PHI","SG",50,25.5,5.7,2.3,1.1,2.2,4.4,50,0.9,2.4
"Devin Booker","PHO","SG",68,34.5,26.8,5,4.8,9.7,20.9,46.6,2.7,7
"Norman Powell","POR","SG",39,33.3,18.7,3.3,2.1,6.5,13.3,45.6,2.4,5.9
"Anfernee Simons","POR","SG",30,29.5,17.3,2.6,3.9,6.1,13.6,44.3,3.1,7.8
"Tyrese Haliburton","SAC","SG",77,34.1,15.3,4,8.2,5.5,11,47.3,2.1,5.1
"Derrick White","SAS","SG",49,30.3,14.4,3.5,5.6,5,11.6,42.6,1.7,5.3
"Gary Trent Jr.","TOR","SG",70,35,18.3,2.7,2,6.5,15.3,41.4,3,7.8
