"Player","Team","Position","GS","MIN","PPG","RPG","APG","FGM","FGA","FG.","X3PM","X3PA","Year","Category"
"Jalen Duren","DET","C",31,24,8,8.2,1,3.3,5.5,60,0,0,"2021-22","Non-Playoff"
"Isaiah Stewart","DET","PF",31,28.9,11.6,8.1,1.3,4.2,9,46.7,1.3,4.1,"2021-22","Non-Playoff"
"Cade Cunningham","DET","PG",12,33.3,19.9,6.2,6,7.5,18.1,41.5,1.4,5.1,"2021-22","Non-Playoff"
"Saddiq Bey","DET","SF",31,30.9,14.3,4.4,1.6,4.9,12,40.8,1.8,5.8,"2021-22","Non-Playoff"
"Killian Hayes","DET","PG",31,26.8,9.1,2.8,5.3,3.4,9.1,37.4,1.1,3.8,"2021-22","Non-Playoff"
"Alperen Şengün","HOU","C",72,28.9,14.8,9,3.9,6,10.2,55.3,0.3,1,"2021-22","Non-Playoff"
"Jabari Smith Jr.","HOU","PF",79,31,12.8,7.2,1.3,4.8,11.6,40.8,1.6,5.3,"2021-22","Non-Playoff"
"Kevin Porter Jr.","HOU","PG",59,34.3,19.2,5.3,5.7,6.9,15.3,44.2,2.3,6.4,"2021-22","Non-Playoff"
"Eric Gordon","HOU","SG",47,30.2,13.1,2.1,2.9,4.5,10.5,42.7,1.8,5.3,"2021-22","Non-Playoff"
"Jalen Green","HOU","SG",76,34.2,22.1,3.7,3.7,7.7,18.3,41.6,2.5,7.3,"2021-22","Non-Playoff"
"Myles Turner","IND","C",42,29.4,12.9,7.1,1,4.7,9.7,50.9,1.5,4.4,"2021-22","Non-Playoff"
"Jalen Smith","IND","PF",22,24.7,13.4,7.6,1,5,10,50.2,1.4,3.8,"2021-22","Non-Playoff"
"Tyrese Haliburton","IND","PG",26,36.1,17.5,4.3,9.6,6.2,12.1,51,2.2,5.5,"2021-22","Non-Playoff"
"Chris Duarte","IND","SG",39,28,13.1,4.1,2.1,4.8,11,43.2,1.7,4.6,"2021-22","Non-Playoff"
"Buddy Hield","IND","SG",26,35.6,18.2,5.1,4.8,6.7,15.3,43.8,3.6,9.6,"2021-22","Non-Playoff"
"Damian Jones","LAL","C",15,18.2,8.1,4.4,1,3.2,5,64,0,0.1,"2021-22","Non-Playoff"
"Anthony Davis","LAL","PF",40,35.1,23.2,9.9,3.1,8.8,17,53.2,0.3,1.9,"2021-22","Non-Playoff"
"Russell Westbrook","LAL","PG",78,34.3,18.5,7.4,7.1,7.1,15.8,44.4,1,3.4,"2021-22","Non-Playoff"
"LeBron James","LAL","SF",56,37.2,30.3,8.2,6.2,11.4,21.8,52.4,2.9,8,"2021-22","Non-Playoff"
"Malik Beasley","LAL","SG",18,25,12.1,2.9,1.5,4.2,10.5,40,2.9,7.5,"2021-22","Non-Playoff"
"Alec Burks","NYK","SG",44,28.6,11.7,4.9,3,4,10,40.4,2,5.5,"2021-22","Non-Playoff"
"Mitchell Robinson","NYK","C",62,25.7,8.5,8.6,0.5,3.5,5,76.1,0,0,"2021-22","Non-Playoff"
"Julius Randle","NYK","PF",72,35.3,20.1,9.9,5.1,7.3,16.5,44.4,1.5,4.6,"2021-22","Non-Playoff"
"Evan Fournier","NYK","SG",80,29.5,14.1,2.6,2.1,5,11.5,41.7,3,7.7,"2021-22","Non-Playoff"
"RJ Barrett","NYK","SF",70,34.5,20,5.8,3,6.7,16,40.8,1.7,5.8,"2021-22","Non-Playoff"
"Aleksej Pokuševski","OKC","PF",12,20.2,7.6,5.2,2.1,2.9,7.1,40.8,0.9,3.1,"2021-22","Non-Playoff"
"Darius Bazley","OKC","PF",53,27.9,10.8,6.3,1.4,4.1,9.7,42.2,1.2,4,"2021-22","Non-Playoff"
"Shai Gilgeous-Alexander","OKC","SG",56,34.7,24.5,5,5.9,8.5,18.8,45.3,1.7,5.6,"2021-22","Non-Playoff"
"Luguentz Dort","OKC","SG",51,32.6,17.2,4.2,1.7,5.8,14.4,40.4,2.5,7.5,"2021-22","Non-Playoff"
"Josh Giddey","OKC","PG",54,31.5,12.5,7.8,6.4,5,11.9,41.9,1.3,4.9,"2021-22","Non-Playoff"
"Mo Bamba","ORL","C",69,25.7,10.6,8.1,1.2,4,8,48,1.5,4,"2021-22","Non-Playoff"
"Wendell Carter Jr.","ORL","PF",61,29.9,15,10.5,2.8,5.8,11.2,52.5,1.1,3.5,"2021-22","Non-Playoff"
"Cole Anthony","ORL","PG",65,31.7,16.3,5.4,5.7,5.6,14,39.1,1.9,6,"2021-22","Non-Playoff"
"Franz Wagner","ORL","SF",79,30.7,15.2,4.5,2.9,5.6,11.5,46.8,1.2,3.4,"2021-22","Non-Playoff"
