"Player","Team","Position","GS","MIN","PPG","RPG","APG","FGM","FGA","FG.","X3PM","X3PA","Year","Category"
"Robert Williams III","BOS","C",61,29.6,10,9.6,2,4.3,5.1,73.6,0,0,"2021-22","Playoff"
"Al Horford","BOS","PF",69,29.1,10.2,7.7,3.4,3.8,8.4,46.7,1.3,4.2,"2021-22","Playoff"
"Marcus Smart","BOS","PG",71,32.3,12.1,3.8,5.9,4.1,10.6,41.8,1.7,5.5,"2021-22","Playoff"
"Jayson Tatum","BOS","SF",76,35.9,26.9,8,4.4,9.1,20.6,45.3,3,8.6,"2021-22","Playoff"
"Jaylen Brown","BOS","SG",66,33.6,23.6,6.1,3.5,8.7,18.4,47.3,2.5,7,"2021-22","Playoff"
"Nikola Vučević","CHI","C",73,33.1,17.6,11,3.2,7.3,15.8,47.3,1.5,4.5,"2021-22","Playoff"
"Patrick Williams","CHI","PF",17,24.8,9,4.1,0.9,3.4,7,52.9,0.9,2,"2021-22","Playoff"
"Lonzo Ball","CHI","PG",35,34.6,13,5.4,5.1,4.6,11.4,42.3,3.1,7.4,"2021-22","Playoff"
"DeMar DeRozan","CHI","SF",76,36.1,27.9,5.2,4.9,10.2,20.2,50.4,0.7,1.9,"2021-22","Playoff"
"Zach LaVine","CHI","SG",67,34.7,24.4,4.6,4.5,8.5,17.7,47.6,2.8,7.1,"2021-22","Playoff"
"Dwight Powell","DAL","C",71,21.9,8.7,4.9,1.2,3.2,4.8,67.1,0,0.1,"2021-22","Playoff"
"Dorian Finney-Smith","DAL","SF",80,33.1,11,4.7,1.9,3.9,8.5,47.1,2.2,5.4,"2021-22","Playoff"
"Luka Dončić","DAL","PG",65,35.4,28.4,9.1,8.7,10.1,21.6,45.7,3.1,8.8,"2021-22","Playoff"
"Reggie Bullock","DAL","SG",37,28,8.6,3.5,1.2,3,7.5,40.9,2,5.8,"2021-22","Playoff"
"Jalen Brunson","DAL","PG",61,31.9,16.3,3.9,4.8,6.3,12.5,50.2,1.2,3.2,"2021-22","Playoff"
"Nikola Jokić","DEN","C",74,33.5,27.1,13.8,7.9,10.6,17.7,58.3,1.3,3.9,"2021-22","Playoff"
"Aaron Gordon","DEN","PF",75,31.7,15,5.9,2.5,5.7,10.5,52,1.2,3.5,"2021-22","Playoff"
"Monte Morris","DEN","PG",74,29.9,12.6,3,4.4,4.8,10.1,48.4,1.7,4.2,"2021-22","Playoff"
"Michael Porter Jr.","DEN","SF",9,29.4,9.9,6.6,1.9,3.6,9.3,35.9,1.1,4.4,"2021-22","Playoff"
"Will Barton","DEN","SG",71,32.1,14.7,4.8,3.9,5.5,13,43.8,2.2,6,"2021-22","Playoff"
"Kevon Looney","GSW","C",80,21.1,6,7.3,2,2.5,4,63,0,0,"2021-22","Playoff"
"Draymond Green","GSW","PF",46,28.9,7.5,7.3,7,2.8,5.3,52.5,0.4,1.3,"2021-22","Playoff"
"Stephen Curry","GSW","PG",64,34.5,25.5,5.2,6.3,8.4,19.2,43.7,4.5,11.7,"2021-22","Playoff"
"Andrew Wiggins","GSW","SF",73,31.9,17.2,4.5,2.2,6.5,14,46.6,2.2,5.2,"2021-22","Playoff"
"Klay Thompson","GSW","SG",32,29.4,20.4,3.9,2.8,7.5,17.6,42.9,3.6,9.3,"2021-22","Playoff"
